runner,opening,workers,nv_power,size,samples,verified_count,commit_ms_mean,commit_ms_stddev,open_ms_mean,open_ms_stddev,verify_ms_mean,verify_ms_stddev,opening_proof_bytes_mean,communication_bytes_mean,network_bytes_mean,failure_reasons
local,compact,1,4,16,1,1,0.692900,0.000000,11.826200,0.000000,7.681900,0.000000,9655.000000,9687.000000,0.000000,
local,compact,1,5,32,1,1,0.926900,0.000000,18.525800,0.000000,10.753200,0.000000,11865.000000,11897.000000,0.000000,
local,compact,1,6,64,1,1,1.078100,0.000000,23.299900,0.000000,11.675300,0.000000,14273.000000,14305.000000,0.000000,
local,compact,1,7,128,1,1,1.591400,0.000000,32.612200,0.000000,13.317300,0.000000,16879.000000,16911.000000,0.000000,
local,compact,1,8,256,1,1,1.798800,0.000000,44.059500,0.000000,15.541400,0.000000,19683.000000,19715.000000,0.000000,
local,compact,1,9,512,1,1,2.830400,0.000000,56.971200,0.000000,17.691300,0.000000,22685.000000,22717.000000,0.000000,
local,compact,1,10,1024,1,1,4.498800,0.000000,88.035400,0.000000,19.670200,0.000000,25885.000000,25917.000000,0.000000,
local,compact,1,11,2048,1,1,8.131400,0.000000,133.941600,0.000000,22.343300,0.000000,29283.000000,29315.000000,0.000000,
local,compact,1,12,4096,1,1,13.427300,0.000000,216.964000,0.000000,25.945100,0.000000,32879.000000,32911.000000,0.000000,
local,compact,1,13,8192,1,1,27.713700,0.000000,386.915500,0.000000,29.345100,0.000000,36673.000000,36705.000000,0.000000,
local,compact,1,14,16384,1,1,49.453700,0.000000,738.816800,0.000000,33.975600,0.000000,40665.000000,40697.000000,0.000000,
local,compact,1,15,32768,1,1,99.301900,0.000000,1343.270800,0.000000,35.065700,0.000000,44855.000000,44887.000000,0.000000,
local,compact,1,16,65536,1,1,215.377500,0.000000,2610.302000,0.000000,38.906500,0.000000,49243.000000,49275.000000,0.000000,
local,compact,2,4,16,1,1,0.463400,0.000000,8.628800,0.000000,7.327900,0.000000,8825.000000,8889.000000,0.000000,
local,compact,2,5,32,1,1,0.728700,0.000000,12.592800,0.000000,8.730900,0.000000,11035.000000,11099.000000,0.000000,
local,compact,2,6,64,1,1,0.844600,0.000000,18.108600,0.000000,10.577000,0.000000,13443.000000,13507.000000,0.000000,
local,compact,2,7,128,1,1,1.517500,0.000000,23.988500,0.000000,12.556500,0.000000,16049.000000,16113.000000,0.000000,
local,compact,2,8,256,1,1,1.687900,0.000000,33.365000,0.000000,14.461900,0.000000,18853.000000,18917.000000,0.000000,
local,compact,2,9,512,1,1,2.910100,0.000000,44.576400,0.000000,16.949000,0.000000,21855.000000,21919.000000,0.000000,
local,compact,2,10,1024,1,1,4.289300,0.000000,63.058700,0.000000,19.105500,0.000000,25055.000000,25119.000000,0.000000,
local,compact,2,11,2048,1,1,7.963300,0.000000,95.729000,0.000000,22.086900,0.000000,28453.000000,28517.000000,0.000000,
local,compact,2,12,4096,1,1,16.204300,0.000000,167.689600,0.000000,25.529700,0.000000,32049.000000,32113.000000,0.000000,
local,compact,2,13,8192,1,1,29.003000,0.000000,251.639700,0.000000,27.731900,0.000000,35843.000000,35907.000000,0.000000,
local,compact,2,14,16384,1,1,57.979100,0.000000,453.179100,0.000000,31.051400,0.000000,39835.000000,39899.000000,0.000000,
local,compact,2,15,32768,1,1,100.039200,0.000000,798.208700,0.000000,35.684200,0.000000,44025.000000,44089.000000,0.000000,
local,compact,2,16,65536,1,1,210.538200,0.000000,1557.355000,0.000000,38.514300,0.000000,48413.000000,48477.000000,0.000000,
local,compact,4,4,16,1,1,0.863400,0.000000,7.340900,0.000000,7.019400,0.000000,8773.000000,8901.000000,0.000000,
local,compact,4,5,32,1,1,0.583700,0.000000,10.479100,0.000000,8.727300,0.000000,11181.000000,11309.000000,0.000000,
local,compact,4,6,64,1,1,1.125300,0.000000,15.440900,0.000000,11.247500,0.000000,13787.000000,13915.000000,0.000000,
local,compact,4,7,128,1,1,1.299000,0.000000,20.137100,0.000000,12.982200,0.000000,16591.000000,16719.000000,0.000000,
local,compact,4,8,256,1,1,1.801600,0.000000,27.829200,0.000000,15.084600,0.000000,19593.000000,19721.000000,0.000000,
local,compact,4,9,512,1,1,2.949000,0.000000,37.686700,0.000000,17.220100,0.000000,22793.000000,22921.000000,0.000000,
local,compact,4,10,1024,1,1,4.627200,0.000000,48.604800,0.000000,19.866000,0.000000,26191.000000,26319.000000,0.000000,
local,compact,4,11,2048,1,1,8.274400,0.000000,73.185100,0.000000,22.898500,0.000000,29787.000000,29915.000000,0.000000,
local,compact,4,12,4096,1,1,15.955900,0.000000,107.306800,0.000000,25.290000,0.000000,33581.000000,33709.000000,0.000000,
local,compact,4,13,8192,1,1,27.210300,0.000000,166.688200,0.000000,29.064400,0.000000,37573.000000,37701.000000,0.000000,
local,compact,4,14,16384,1,1,52.771200,0.000000,300.921100,0.000000,32.298000,0.000000,41763.000000,41891.000000,0.000000,
local,compact,4,15,32768,1,1,105.573300,0.000000,563.738900,0.000000,35.376700,0.000000,46151.000000,46279.000000,0.000000,
local,compact,4,16,65536,1,1,209.960900,0.000000,1040.018200,0.000000,39.552400,0.000000,50737.000000,50865.000000,0.000000,
local,compact,8,4,16,1,1,0.692900,0.000000,7.979000,0.000000,7.948100,0.000000,9683.000000,9939.000000,0.000000,
local,compact,8,5,32,1,1,0.782700,0.000000,10.211300,0.000000,10.005100,0.000000,12685.000000,12941.000000,0.000000,
local,compact,8,6,64,1,1,1.025500,0.000000,13.629100,0.000000,12.282300,0.000000,15885.000000,16141.000000,0.000000,
local,compact,8,7,128,1,1,1.383400,0.000000,19.400700,0.000000,14.856300,0.000000,19283.000000,19539.000000,0.000000,
local,compact,8,8,256,1,1,1.890500,0.000000,24.836600,0.000000,17.493700,0.000000,22879.000000,23135.000000,0.000000,
local,compact,8,9,512,1,1,3.333700,0.000000,33.085500,0.000000,19.954100,0.000000,26673.000000,26929.000000,0.000000,
local,compact,8,10,1024,1,1,5.130000,0.000000,45.777500,0.000000,22.923300,0.000000,30665.000000,30921.000000,0.000000,
local,compact,8,11,2048,1,1,8.348000,0.000000,63.103300,0.000000,25.798000,0.000000,34855.000000,35111.000000,0.000000,
local,compact,8,12,4096,1,1,15.553700,0.000000,89.764700,0.000000,29.376500,0.000000,39243.000000,39499.000000,0.000000,
local,compact,8,13,8192,1,1,28.985600,0.000000,144.418400,0.000000,33.553800,0.000000,43829.000000,44085.000000,0.000000,
local,compact,8,14,16384,1,1,54.455600,0.000000,245.756400,0.000000,37.203100,0.000000,48613.000000,48869.000000,0.000000,
local,compact,8,15,32768,1,1,104.798200,0.000000,414.334400,0.000000,43.191800,0.000000,53595.000000,53851.000000,0.000000,
local,compact,8,16,65536,1,1,206.420600,0.000000,791.544700,0.000000,44.422700,0.000000,58775.000000,59031.000000,0.000000,
local,compact,16,4,16,1,1,1.307600,0.000000,9.509400,0.000000,10.452400,0.000000,11527.000000,12039.000000,0.000000,
local,compact,16,5,32,1,1,1.462100,0.000000,12.186000,0.000000,12.874000,0.000000,15915.000000,16427.000000,0.000000,
local,compact,16,6,64,1,1,1.567300,0.000000,15.493700,0.000000,16.005500,0.000000,20501.000000,21013.000000,0.000000,
local,compact,16,7,128,1,1,1.746300,0.000000,19.795500,0.000000,19.342400,0.000000,25285.000000,25797.000000,0.000000,
local,compact,16,8,256,1,1,2.251800,0.000000,26.526300,0.000000,22.771900,0.000000,30267.000000,30779.000000,0.000000,
local,compact,16,9,512,1,1,3.342600,0.000000,35.361400,0.000000,26.704300,0.000000,35447.000000,35959.000000,0.000000,
local,compact,16,10,1024,1,1,5.675600,0.000000,45.837500,0.000000,30.182000,0.000000,40825.000000,41337.000000,0.000000,
local,compact,16,11,2048,1,1,9.434900,0.000000,61.270200,0.000000,34.018400,0.000000,46401.000000,46913.000000,0.000000,
local,compact,16,12,4096,1,1,15.895800,0.000000,85.939700,0.000000,38.546500,0.000000,52175.000000,52687.000000,0.000000,
local,compact,16,13,8192,1,1,34.420400,0.000000,139.981700,0.000000,44.401400,0.000000,58147.000000,58659.000000,0.000000,
local,compact,16,14,16384,1,1,61.475300,0.000000,216.459100,0.000000,48.641800,0.000000,64317.000000,64829.000000,0.000000,
local,compact,16,15,32768,1,1,114.882900,0.000000,349.727900,0.000000,52.791400,0.000000,70685.000000,71197.000000,0.000000,
local,compact,16,16,65536,1,1,216.025200,0.000000,643.645300,0.000000,58.636300,0.000000,77251.000000,77763.000000,0.000000,
network,compact,1,4,16,1,1,0.878200,0.000000,12.300500,0.000000,7.675100,0.000000,9655.000000,9687.000000,2786.000000,
network,compact,1,5,32,1,1,1.823000,0.000000,17.525600,0.000000,9.453500,0.000000,11865.000000,11897.000000,3296.000000,
network,compact,1,6,64,1,1,2.577200,0.000000,24.459700,0.000000,11.676600,0.000000,14273.000000,14305.000000,3907.000000,
network,compact,1,7,128,1,1,4.420100,0.000000,33.932800,0.000000,13.380300,0.000000,16879.000000,16911.000000,4759.000000,
network,compact,1,8,256,1,1,7.640500,0.000000,48.017700,0.000000,15.290600,0.000000,19683.000000,19715.000000,6041.000000,
network,compact,1,9,512,1,1,15.236600,0.000000,71.230000,0.000000,17.296200,0.000000,22685.000000,22717.000000,8191.000000,
network,compact,1,10,1024,1,1,27.811100,0.000000,106.725900,0.000000,20.145400,0.000000,25885.000000,25917.000000,12131.000000,
network,compact,1,11,2048,1,1,55.147000,0.000000,177.959800,0.000000,22.241500,0.000000,29283.000000,29315.000000,19585.000000,
network,compact,1,12,4096,1,1,108.970300,0.000000,299.980700,0.000000,25.132000,0.000000,32879.000000,32911.000000,34105.000000,
network,compact,1,13,8192,1,1,222.362100,0.000000,543.805900,0.000000,28.068300,0.000000,36673.000000,36705.000000,62689.000000,
network,compact,1,14,16384,1,1,455.578300,0.000000,1027.311200,0.000000,31.164100,0.000000,40665.000000,40697.000000,119540.000000,
network,compact,1,15,32768,1,1,901.634300,0.000000,2135.150000,0.000000,34.442400,0.000000,44855.000000,44887.000000,232765.000000,
network,compact,1,16,65536,1,1,1822.668600,0.000000,4209.172700,0.000000,37.803100,0.000000,49243.000000,49275.000000,458887.000000,
network,compact,2,4,16,1,1,0.963300,0.000000,9.363900,0.000000,7.052200,0.000000,8825.000000,8889.000000,4664.000000,
network,compact,2,5,32,1,1,1.697000,0.000000,13.456500,0.000000,8.753300,0.000000,11035.000000,11099.000000,5576.000000,
network,compact,2,6,64,1,1,2.485900,0.000000,19.212600,0.000000,10.429100,0.000000,13443.000000,13507.000000,6588.000000,
network,compact,2,7,128,1,1,4.161100,0.000000,26.794600,0.000000,12.729700,0.000000,16049.000000,16113.000000,7839.000000,
network,compact,2,8,256,1,1,7.793500,0.000000,37.389500,0.000000,14.459600,0.000000,18853.000000,18917.000000,9524.000000,
network,compact,2,9,512,1,1,14.966400,0.000000,54.084500,0.000000,16.610500,0.000000,21855.000000,21919.000000,12076.000000,
network,compact,2,10,1024,1,1,28.305200,0.000000,88.705600,0.000000,18.917100,0.000000,25055.000000,25119.000000,16418.000000,
network,compact,2,11,2048,1,1,60.497400,0.000000,140.532900,0.000000,21.732900,0.000000,28453.000000,28517.000000,24273.000000,
network,compact,2,12,4096,1,1,109.798200,0.000000,226.990000,0.000000,24.535700,0.000000,32049.000000,32113.000000,39189.000000,
network,compact,2,13,8192,1,1,217.388200,0.000000,416.307500,0.000000,27.277100,0.000000,35843.000000,35907.000000,68158.000000,
network,compact,2,14,16384,1,1,442.009100,0.000000,847.794800,0.000000,42.101300,0.000000,39835.000000,39899.000000,125426.000000,
network,compact,2,15,32768,1,1,911.792000,0.000000,1507.109500,0.000000,33.028900,0.000000,44025.000000,44089.000000,239050.000000,
network,compact,2,16,65536,1,1,1789.405000,0.000000,3077.971400,0.000000,45.482500,0.000000,48413.000000,48477.000000,465566.000000,
network,compact,4,4,16,1,1,0.793100,0.000000,8.288500,0.000000,7.260700,0.000000,8773.000000,8901.000000,7633.000000,
network,compact,4,5,32,1,1,1.071500,0.000000,10.896000,0.000000,8.854300,0.000000,11181.000000,11309.000000,9347.000000,
network,compact,4,6,64,1,1,1.973100,0.000000,15.477600,0.000000,10.734900,0.000000,13787.000000,13915.000000,11165.000000,
network,compact,4,7,128,1,1,2.576300,0.000000,21.014600,0.000000,13.338300,0.000000,16591.000000,16719.000000,13208.000000,
network,compact,4,8,256,1,1,4.568300,0.000000,29.143800,0.000000,14.952900,0.000000,19593.000000,19721.000000,15691.000000,
network,compact,4,9,512,1,1,7.689200,0.000000,39.571800,0.000000,17.250900,0.000000,22793.000000,22921.000000,19033.000000,
network,compact,4,10,1024,1,1,14.311200,0.000000,58.259000,0.000000,19.756500,0.000000,26191.000000,26319.000000,24183.000000,
network,compact,4,11,2048,1,1,28.065700,0.000000,86.033300,0.000000,22.617000,0.000000,29787.000000,29915.000000,32859.000000,
network,compact,4,12,4096,1,1,56.461700,0.000000,144.576500,0.000000,25.234100,0.000000,33581.000000,33709.000000,48568.000000,
network,compact,4,13,8192,1,1,111.276100,0.000000,243.391500,0.000000,28.132600,0.000000,37573.000000,37701.000000,78342.000000,
network,compact,4,14,16384,1,1,254.703100,0.000000,553.723200,0.000000,38.963800,0.000000,41763.000000,41891.000000,136413.000000,
network,compact,4,15,32768,1,1,444.221500,0.000000,798.682500,0.000000,34.234200,0.000000,46151.000000,46279.000000,250830.000000,
network,compact,4,16,65536,1,1,945.312600,0.000000,1646.828400,0.000000,45.781900,0.000000,50737.000000,50865.000000,478139.000000,
network,compact,8,4,16,1,1,0.928300,0.000000,8.478200,0.000000,7.813500,0.000000,9683.000000,9939.000000,11976.000000,
network,compact,8,5,32,1,1,1.695600,0.000000,11.347100,0.000000,10.005200,0.000000,12685.000000,12941.000000,15292.000000,
network,compact,8,6,64,1,1,1.500400,0.000000,14.718700,0.000000,12.350700,0.000000,15885.000000,16141.000000,18674.000000,
network,compact,8,7,128,1,1,1.919200,0.000000,19.719500,0.000000,14.942400,0.000000,19283.000000,19539.000000,22312.000000,
network,compact,8,8,256,1,1,2.608300,0.000000,29.630700,0.000000,18.839800,0.000000,22879.000000,23135.000000,26399.000000,
network,compact,8,9,512,1,1,4.390500,0.000000,33.708100,0.000000,20.199700,0.000000,26673.000000,26929.000000,31343.000000,
network,compact,8,10,1024,1,1,7.853100,0.000000,45.016400,0.000000,24.363500,0.000000,30665.000000,30921.000000,38123.000000,
network,compact,8,11,2048,1,1,15.086300,0.000000,63.754400,0.000000,25.652000,0.000000,34855.000000,35111.000000,48416.000000,
network,compact,8,12,4096,1,1,28.852600,0.000000,97.109200,0.000000,29.792900,0.000000,39243.000000,39499.000000,65732.000000,
network,compact,8,13,8192,1,1,61.092300,0.000000,154.621100,0.000000,32.868500,0.000000,43829.000000,44085.000000,97058.000000,
network,compact,8,14,16384,1,1,184.035800,0.000000,294.852900,0.000000,39.280400,0.000000,48613.000000,48869.000000,156770.000000,
network,compact,8,15,32768,1,1,228.450700,0.000000,462.377900,0.000000,40.755400,0.000000,53595.000000,53851.000000,272803.000000,
network,compact,8,16,65536,1,1,494.584900,0.000000,849.327900,0.000000,44.259000,0.000000,58775.000000,59031.000000,501708.000000,
network,compact,16,4,16,1,1,1.617600,0.000000,11.058200,0.000000,10.644000,0.000000,11527.000000,12039.000000,17559.000000,
network,compact,16,5,32,1,1,1.712700,0.000000,14.743600,0.000000,13.100500,0.000000,15915.000000,16427.000000,24033.000000,
network,compact,16,6,64,1,1,1.897900,0.000000,17.595400,0.000000,16.042400,0.000000,20501.000000,21013.000000,30646.000000,
network,compact,16,7,128,1,1,1.948400,0.000000,21.548300,0.000000,19.287000,0.000000,25285.000000,25797.000000,37471.000000,
network,compact,16,8,256,1,1,2.923600,0.000000,30.051900,0.000000,22.914000,0.000000,30267.000000,30779.000000,44751.000000,
network,compact,16,9,512,1,1,4.080800,0.000000,35.404800,0.000000,26.460700,0.000000,35447.000000,35959.000000,52880.000000,
network,compact,16,10,1024,1,1,7.482900,0.000000,45.196500,0.000000,30.152100,0.000000,40825.000000,41337.000000,62882.000000,
network,compact,16,11,2048,1,1,9.117500,0.000000,55.772900,0.000000,34.625800,0.000000,46401.000000,46913.000000,76361.000000,
network,compact,16,12,4096,1,1,15.701300,0.000000,75.918700,0.000000,39.074800,0.000000,52175.000000,52687.000000,96867.000000,
network,compact,16,13,8192,1,1,31.172400,0.000000,107.682600,0.000000,43.696200,0.000000,58147.000000,58659.000000,131485.000000,
network,compact,16,14,16384,1,1,84.545700,0.000000,179.900000,0.000000,48.164300,0.000000,64317.000000,64829.000000,194338.000000,
network,compact,16,15,32768,1,1,119.702600,0.000000,270.561600,0.000000,59.196600,0.000000,70685.000000,71197.000000,313542.000000,
network,compact,16,16,65536,1,1,252.952700,0.000000,474.133700,0.000000,58.467300,0.000000,77251.000000,77763.000000,545712.000000,
